,id,company_name,update_day,year_change_percent
679,680,AGMH,2021,-6.50557172718343
680,681,EM,2021,nan
681,682,MARK,2014,nan
682,683,MARK,2015,9.154925951446787
683,684,MARK,2016,8.817200838782181
684,685,MARK,2017,-29.644269109932548
685,686,MARK,2018,158.70787039833718
686,687,MARK,2019,-87.40499498570266
687,688,MARK,2020,-55.172414147471144
688,689,MARK,2021,230.7692484037417
689,690,PDD,2018,nan
690,691,PDD,2019,-14.0
691,692,PDD,2020,79.06976744186046
692,693,PDD,2021,331.63634461241884
693,694,GSX,2019,nan
694,695,GSX,2020,135.96674670459421
695,696,GSX,2021,113.2158585866564
696,697,LIZI,2020,nan
697,698,LIZI,2021,-66.20345250883902
698,699,APM,2018,nan
699,700,APM,2019,18.03773844017173
700,701,APM,2020,-12.659849440195018
701,702,APM,2021,-82.06442111968347
702,703,DTSS,2018,nan
703,704,DTSS,2019,-77.99458116589963
704,705,DTSS,2020,-35.96059257940367
705,706,DTSS,2021,-26.153845095775498
706,707,SOS,2017,nan
707,708,SOS,2018,-5.322579414613785
708,709,SOS,2019,-82.79386669472343
709,710,SOS,2020,-64.35643793402802
710,711,SOS,2021,-61.11111074318119
711,712,HTHT,2014,nan
712,713,HTHT,2015,-1.1503332753285467
713,714,HTHT,2016,16.813806264966697
714,715,HTHT,2017,71.35005160521304
715,716,HTHT,2018,192.72251680076613
716,717,HTHT,2019,-24.388736607540817
717,718,HTHT,2020,46.84781963448152
718,719,HTHT,2021,10.09129108258721
719,720,TSM,2014,nan
720,721,TSM,2015,-1.4778321756988408
721,722,TSM,2016,-0.6363608620383523
722,723,TSM,2017,32.93686484245266
723,724,TSM,2018,39.09153101092301
724,725,TSM,2019,-10.93517656896184
725,726,TSM,2020,65.55555131700304
726,727,TSM,2021,85.3187915704405
727,728,MLCO,2014,nan
728,729,MLCO,2015,-6.464332844880686
729,730,MLCO,2016,-32.9962076474956
730,731,MLCO,2017,-1.2578604658081358
731,732,MLCO,2018,78.28025548510041
732,733,MLCO,2019,-39.44265487122466
733,734,MLCO,2020,46.076690940443235
734,735,MLCO,2021,-28.311793877549604
735,736,SOHU,2014,nan
736,737,SOHU,2015,0.4306150323861002
737,738,SOHU,2016,2.514124081667975
738,739,SOHU,2017,-34.23954152849267
739,740,SOHU,2018,27.059845530677986
740,741,SOHU,2019,-61.77474642679179
741,742,SOHU,2020,-32.08333115729065
742,743,SOHU,2021,37.86152280978368
743,744,JWEL,2021,nan
744,745,DXF,2014,nan
745,746,DXF,2015,-7.272727666807574
746,747,DXF,2016,-12.745093914326697
747,748,DXF,2017,-34.26966497815121
748,749,DXF,2018,33.90312883290981
749,750,DXF,2019,-61.70212711992171
750,751,DXF,2020,-41.11111273000274
751,752,DXF,2021,19.81132542293434
752,753,SLCRU,2021,nan
753,754,HIMX,2014,nan
754,755,HIMX,2015,-2.999997138977051
755,756,HIMX,2016,3.737112800250708
756,757,HIMX,2017,-24.223605464589244
757,758,HIMX,2018,64.09836697341368
758,759,HIMX,2019,-66.33366824672363
759,760,HIMX,2020,-20.474772766569668
760,761,HIMX,2021,161.56716620398933
761,762,OSN,2014,nan
762,763,OSN,2015,4.411772268178833
763,764,OSN,2016,15.492953332196088
764,765,OSN,2017,-17.886180910464326
765,766,OSN,2018,33.66336995930596
766,767,OSN,2019,-55.55555457440916
767,768,OSN,2020,149.99999006589294
768,769,OSN,2021,54.66666221618652
769,770,ITP,2014,nan
770,771,ITP,2015,1.8348605792718238
771,772,ITP,2016,29.729733212835296
772,773,ITP,2017,-20.138893717968713
773,774,ITP,2018,12.173912051945397
774,775,ITP,2019,-51.93798270522665
775,776,ITP,2020,43.548383685478214
776,777,ITP,2021,-38.20224485829565
777,778,AIH,2019,nan
778,779,AIH,2020,-13.351878032085768
779,780,AIH,2021,-22.953448217666136
780,781,BEKE,2020,nan
781,782,BEKE,2021,76.87951532826675
782,783,HUIZ,2020,nan
783,784,HUIZ,2021,-28.958334368136153
784,785,CNET,2014,nan
785,786,CNET,2015,0.8695685345193614
786,787,CNET,2016,-28.448276570804314
787,788,CNET,2017,-52.771084503470625
788,789,CNET,2018,10.204083866896262
789,790,CNET,2019,15.740736141617099
790,791,CNET,2020,-9.600000381469727
791,792,CNET,2021,17.699119338732352
792,793,TUYA,2021,nan
793,794,TANH,2015,nan
794,795,TANH,2016,-9.219858036105535
795,796,TANH,2017,-60.937499126885065
796,797,TANH,2018,26.499998569488525
797,798,TANH,2019,-32.015808377048906
798,799,TANH,2020,-4.069770423704462
799,800,TANH,2021,-21.21212296358922
800,801,HIHO,2014,nan
801,802,HIHO,2015,0.0
802,803,HIHO,2016,65.94202679462028
803,804,HIHO,2017,-29.0393001279756
804,805,HIHO,2018,27.692310626690205
805,806,HIHO,2019,-39.759037528921894
806,807,HIHO,2020,-35.59999942779541
807,808,HIHO,2021,143.47826344497517
808,809,LI,2020,nan
809,810,LI,2021,96.0927143199816
810,811,ALAC,2018,nan
811,812,ALAC,2019,0.8290147862020221
812,813,ALAC,2020,6.166499585793643
813,814,ALAC,2021,14.520813272783169
814,815,EH,2019,nan
815,816,EH,2020,-10.808576553727864
816,817,EH,2021,86.95650601269136
817,818,ICLK,2017,nan
818,819,ICLK,2018,12.5
819,820,ICLK,2019,-64.44444391462538
820,821,ICLK,2020,0.0
821,822,ICLK,2021,140.62499045394375
822,823,CLPS,2018,nan
823,824,CLPS,2019,-56.9523811340332
824,825,CLPS,2020,99.11504508801285
825,826,CLPS,2021,-34.22222137451172
826,827,IH,2020,nan
827,828,IH,2021,44.38944030726569
828,829,GIGM,2014,nan
829,830,GIGM,2015,0.0
830,831,GIGM,2016,235.555562325466
831,832,GIGM,2017,-7.284769205287714
832,833,GIGM,2018,8.214286535370121
833,834,GIGM,2019,-3.9603923000712657
834,835,GIGM,2020,-17.182130077404103
835,836,GIGM,2021,26.556010111717402
836,837,ZLAB,2017,nan
837,838,ZLAB,2018,-12.142854967609532
838,839,ZLAB,2019,6.217117391425706
839,840,ZLAB,2020,87.01036271743861
840,841,ZLAB,2021,199.55458920435618
841,842,DOYU,2019,nan
842,843,DOYU,2020,-23.636367104270242
843,844,DOYU,2021,32.26190668114738
844,845,CCM,2014,nan
845,846,CCM,2015,0.8051560455349537
846,847,CCM,2016,-24.281156584481067
847,848,CCM,2017,-4.430370705698908
848,849,CCM,2018,-24.724063401865603
849,850,CCM,2019,1.7595290694816745
850,851,CCM,2020,-25.36023363646389
851,852,CCM,2021,5.791509665572366
852,853,YJ,2019,nan
853,854,YJ,2020,-66.9402988473778
854,855,YJ,2021,-58.91647577930856
855,856,RAAS,2021,nan
856,857,CNF,2018,nan
857,858,CNF,2019,-24.929175160187906
858,859,CNF,2020,-20.754723431759118
859,860,CNF,2021,-23.571424192311614
860,861,SVM,2017,nan
861,862,SVM,2018,-15.555555387359032
862,863,SVM,2019,-22.518795405405235
863,864,SVM,2020,168.31634731187984
864,865,SVM,2021,25.135620501789607
865,866,XNET,2014,nan
866,867,XNET,2015,1.944449264326341
867,868,XNET,2016,0.0
868,869,XNET,2017,-47.683925962652346
869,870,XNET,2018,310.1562591677068
870,871,XNET,2019,-78.66666733272491
871,872,XNET,2020,39.13691478259808
872,873,XNET,2021,-37.75401139880455
873,874,WNW,2020,nan
874,875,WNW,2021,353.7619484075237
875,876,TCOM,2014,nan
876,877,TCOM,2015,-1.1620121961199372
877,878,TCOM,2016,98.05561695850726
878,879,TCOM,2017,-7.762551987226512
879,880,TCOM,2018,11.188110080072759
880,881,TCOM,2019,-41.40694397218362
881,882,TCOM,2020,31.07902887546144
882,883,TCOM,2021,-4.492751411769701
883,884,GSMG,2018,nan
884,885,GSMG,2019,1.36698329455459
885,886,GSMG,2020,6.01659650466504
886,887,GSMG,2021,-74.16829710444142
887,888,CLWT,2014,nan
888,889,CLWT,2015,0.0
889,890,CLWT,2016,10.156249854480844
890,891,CLWT,2017,25.886526111865493
891,892,CLWT,2018,-7.042253615718541
892,893,CLWT,2019,-21.21212296358922
893,894,CLWT,2020,-13.461535287326493
894,895,CLWT,2021,39.555560217963325
895,896,KNDI,2014,nan
896,897,KNDI,2015,-6.884056493730732
897,898,KNDI,2016,-21.01167846526273
898,899,KNDI,2017,-52.70935594941523
899,900,KNDI,2018,41.66666501098216
900,901,KNDI,2019,-46.91176773767562
901,902,KNDI,2020,29.085872100514635
902,903,KNDI,2021,46.781123960474496
903,904,METX,2018,nan
904,905,METX,2019,1.5706766024549275
905,906,METX,2020,5.8762954608936
906,907,METX,2021,-82.86270777005882
907,908,UCL,2020,nan
908,909,UCL,2021,-37.17646879308364
909,910,LAIX,2018,nan
910,911,LAIX,2019,-42.055334824131144
911,912,LAIX,2020,-37.2442025578248
912,913,LAIX,2021,-69.13043507556159
913,914,PTR,2014,nan
914,915,PTR,2015,-0.045367898137749205
915,916,PTR,2016,-42.151611132086465
916,917,PTR,2017,16.52542149650116
917,918,PTR,2018,-4.727275604350799
918,919,PTR,2019,-16.299122317619016
919,920,PTR,2020,-14.558350050954976
920,921,PTR,2021,-40.18580719981692
921,922,EDU,2014,nan
922,923,EDU,2015,-0.6397643223034237
923,924,EDU,2016,45.666166763104755
924,925,EDU,2017,43.86263068840305
925,926,EDU,2018,126.0694800547726
926,927,EDU,2019,-43.80553856977162
927,928,EDU,2020,130.9767434763354
928,929,EDU,2021,39.34755771419591
929,930,YI,2018,nan
930,931,YI,2019,-48.186528156040225
931,932,YI,2020,-0.33333301544189453
932,933,YI,2021,13.712377408795126
933,934,FAMI,2018,nan
934,935,FAMI,2019,-5.437352672255168
935,936,FAMI,2020,-80.2499994635582
